"category","role","level","region","rate_type","rate_low","rate_high","rate_unit","notes","last_updated"
"Contingent Workforce","Chief Software Engineer 2 / Delivery Manager / Senior Solution Architect","12 yrs min","AMER","Bill Rate","$141","$156","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Chief Software Engineer 2 / Delivery Manager / Senior Solution Architect (Specialized)","12 yrs min","AMER","Bill Rate","$156","$171","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Consultant","6 yrs min","AMER","Bill Rate","$137","$151","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Consultant (Specialized)","6 yrs min","AMER","Bill Rate","$151","$166","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Consulting Analyst","3 yrs min","AMER","Bill Rate","$89","$98","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Consulting Analyst (Specialized)","3 yrs min","AMER","Bill Rate","$98","$108","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Consulting Manager / Program Manager / Consulting Architect","8 yrs min","AMER","Bill Rate","$149","$164","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Consulting Manager / Program Manager / Consulting Architect (Specialized)","8 yrs min","AMER","Bill Rate","$164","$180","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Data Analyst","1 yr min","AMER","Bill Rate","$75","$82","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Data Analyst (Specialized)","1 yr min","AMER","Bill Rate","$82","$91","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Data Engineer","1 yr min","AMER","Bill Rate","$102","$113","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Data Engineer (Specialized)","1 yr min","AMER","Bill Rate","$113","$124","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Director, Product Management / Director, Project Management / Director Experience Design","10 yrs min","AMER","Bill Rate","$116","$128","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Director, Product Management / Director, Project Management / Director Experience Design (Specialized)","10 yrs min","AMER","Bill Rate","$128","$141","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Information Architect","3 yrs min","AMER","Bill Rate","$150","$165","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Information Architect (Specialized)","3 yrs min","AMER","Bill Rate","$165","$182","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Lead Automation Tester / Lead DevSecOps Engineer","6 yrs min","AMER","Bill Rate","$128","$141","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Lead Automation Tester / Lead DevSecOps Engineer (Specialized)","6 yrs min","AMER","Bill Rate","$141","$155","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Lead Business Analyst / Lead UI/UX Designer","7 yrs min","AMER","Bill Rate","$115","$127","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Lead Business Analyst / Lead UI/UX Designer (Specialized)","7 yrs min","AMER","Bill Rate","$127","$140","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Lead QA Engineer","6 yrs min","AMER","Bill Rate","$98","$108","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Lead QA Engineer (Specialized)","6 yrs min","AMER","Bill Rate","$108","$118","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Lead Software Engineer","7 yrs min","AMER","Bill Rate","$125","$138","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Lead Software Engineer (Specialized)","7 yrs min","AMER","Bill Rate","$138","$151","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Managing Principal Consultant / Senior Director Tech Solutions","15 yrs min","AMER","Bill Rate","$177","$194","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Managing Principal Consultant / Senior Director Tech Solutions (Specialized)","15 yrs min","AMER","Bill Rate","$194","$214","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Principal Automation Tester / Principal DevSecOps Engineer","8 yrs min","AMER","Bill Rate","$142","$156","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Principal Automation Tester / Principal DevSecOps Engineer (Specialized)","8 yrs min","AMER","Bill Rate","$155","$171","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Principal Consultant / Director, Tech Solutions","10 yrs min","AMER","Bill Rate","$162","$179","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Principal Consultant / Director, Tech Solutions (Specialized)","10 yrs min","AMER","Bill Rate","$179","$196","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Principal QA Engineer","10 yrs min","AMER","Bill Rate","$114","$126","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Principal QA Engineer (Specialized)","10 yrs min","AMER","Bill Rate","$125","$138","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Principal Software Engineer / Director, Delivery Management / Principal Solution Architect","10 yrs min","AMER","Bill Rate","$163","$180","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Principal Software Engineer / Director, Delivery Management / Principal Solution Architect (Specialized)","10 yrs min","AMER","Bill Rate","$180","$198","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Product Manager / Associate Project Manager / Scrum Master","1 yr min","AMER","Bill Rate","$112","$123","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Product Manager / Associate Project Manager / Scrum Master (Specialized)","1 yr min","AMER","Bill Rate","$123","$136","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Product Manager / Project Manager","1 yr min","AMER","Bill Rate","$98","$108","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Product Manager / Project Manager (Specialized)","1 yr min","AMER","Bill Rate","$108","$119","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Product Owner","3 yrs min","AMER","Bill Rate","$109","$121","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Product Owner (Specialized)","3 yrs min","AMER","Bill Rate","$121","$133","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","QA Engineer","1 yr min","AMER","Bill Rate","$71","$78","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","QA Engineer (Specialized)","1 yr min","AMER","Bill Rate","$78","$86","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Senior Automation Tester / Senior DevSecOps Engineer","3 yrs min","AMER","Bill Rate","$114","$126","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Senior Automation Tester / Senior DevSecOps Engineer (Specialized)","3 yrs min","AMER","Bill Rate","$126","$138","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Senior Business Analyst","5 yrs min","AMER","Bill Rate","$92","$101","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Senior Business Analyst (Specialized)","5 yrs min","AMER","Bill Rate","$101","$111","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Senior Consulting Analyst","5 yrs min","AMER","Bill Rate","$96","$106","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Senior Consulting Analyst (Specialized)","5 yrs min","AMER","Bill Rate","$106","$116","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Senior Consulting Manager / Senior Program Manager / Senior Consulting Architect","12 yrs min","AMER","Bill Rate","$155","$171","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Senior Consulting Manager / Senior Program Manager / Senior Consulting Architect (Specialized)","12 yrs min","AMER","Bill Rate","$171","$188","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Senior Product Manager / Senior Project Manager / Associate Director Experience Design","5 yrs min","AMER","Bill Rate","$115","$126","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Senior Product Manager / Senior Project Manager / Associate Director Experience Design (Specialized)","5 yrs min","AMER","Bill Rate","$126","$139","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Senior UI/UX Designer","5 yrs min","AMER","Bill Rate","$92","$102","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Senior UI/UX Designer (Specialized)","5 yrs min","AMER","Bill Rate","$102","$112","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Software Engineer","1 yr min","AMER","Bill Rate","$90","$100","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Software Engineer (Specialized)","1 yr min","AMER","Bill Rate","$100","$110","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Data Analyst","3 yrs min","AMER","Bill Rate","$81","$89","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Data Analyst (Specialized)","3 yrs min","AMER","Bill Rate","$89","$98","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Data Engineer","5 yrs min","AMER","Bill Rate","$110","$121","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Data Engineer (Specialized)","5 yrs min","AMER","Bill Rate","$121","$133","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Product Owner","5 yrs min","AMER","Bill Rate","$114","$126","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Product Owner (Specialized)","5 yrs min","AMER","Bill Rate","$126","$139","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Scrum Master","5 yrs min","AMER","Bill Rate","$110","$122","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Scrum Master (Specialized)","5 yrs min","AMER","Bill Rate","$122","$134","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Software Engineer","3 yrs min","AMER","Bill Rate","$98","$108","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Software Engineer (Specialized)","3 yrs min","AMER","Bill Rate","$108","$118","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Test Automation Engineer","5 yrs min","AMER","Bill Rate","$92","$102","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Test Automation Engineer (Specialized)","5 yrs min","AMER","Bill Rate","$102","$112","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr Test Performance Engineer","5 yrs min","AMER","Bill Rate","$92","$102","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr Test Performance Engineer (Specialized)","5 yrs min","AMER","Bill Rate","$102","$112","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Sr. QA Engineer","5 yrs min","AMER","Bill Rate","$86","$95","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Sr. QA Engineer (Specialized)","5 yrs min","AMER","Bill Rate","$95","$104","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Tech Lead","7 yrs min","AMER","Bill Rate","$118","$130","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Tech Lead (Specialized)","7 yrs min","AMER","Bill Rate","$130","$143","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Test Automation Engineer","1 yr min","AMER","Bill Rate","$76","$84","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Test Automation Engineer (Specialized)","1 yr min","AMER","Bill Rate","$84","$92","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Test Performance Engineer","1 yr min","AMER","Bill Rate","$76","$84","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Test Performance Engineer (Specialized)","1 yr min","AMER","Bill Rate","$84","$92","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Software Developer","1-3 Years","APAC","Bill Rate","$18","$28","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Software Developer","3-5 Years","APAC","Bill Rate","$31","$40","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Software Developer","5-7 Years","APAC","Bill Rate","$43","$49","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead Software Developer","7+ Years","APAC","Bill Rate","$48","$58","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","UI/UX Developer","1-3 Years","APAC","Bill Rate","$17","$26","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","UI/UX Developer","3-5 Years","APAC","Bill Rate","$29","$38","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","UI/UX Developer","5-7 Years","APAC","Bill Rate","$41","$48","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead UI/UX Developer","7+ Years","APAC","Bill Rate","$48","$53","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","UX Researcher","5+ Years","APAC","Bill Rate","$37","$44","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","DevOps Engineer","1-3 Years","APAC","Bill Rate","$19","$28","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","DevOps Engineer","3-5 Years","APAC","Bill Rate","$31","$41","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","DevOps Engineer","5-7 Years","APAC","Bill Rate","$44","$50","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead DevOps Engineer","7+ Years","APAC","Bill Rate","$54","$62","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Engineer","1-3 Years","APAC","Bill Rate","$20","$29","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Engineer","3-5 Years","APAC","Bill Rate","$32","$41","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Engineer","5-7 Years","APAC","Bill Rate","$45","$51","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead Data Engineer","7+ Years","APAC","Bill Rate","$51","$57","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Scientist","3-5 Years","APAC","Bill Rate","$21","$31","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Scientist","5-7 Years","APAC","Bill Rate","$34","$43","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Senior Data Scientist","7+ Years","APAC","Bill Rate","$50","$59","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Analyst","1-3 Years","APAC","Bill Rate","$15","$24","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Analyst","3-5 Years","APAC","Bill Rate","$28","$34","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Analyst","5-7 Years","APAC","Bill Rate","$37","$43","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Senior Data Analyst","7+ Years","APAC","Bill Rate","$45","$50","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Management Analyst","1-3 Years","APAC","Bill Rate","$15","$24","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Management Analyst","3-5 Years","APAC","Bill Rate","$28","$34","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Management Analyst","5-7 Years","APAC","Bill Rate","$37","$43","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Management Analyst","7+ Years","APAC","Bill Rate","$45","$50","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Enterprise Architect","5-8 Years","APAC","Bill Rate","$59","$65","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Enterprise Architect","9-12 Years","APAC","Bill Rate","$73","$80","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead Enterprise Architect","12+ Years","APAC","Bill Rate","$87","$89","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead Solutions / Applications / System Architect","12+ Years","APAC","Bill Rate","$87","$89","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Architect","5-7 Years","APAC","Bill Rate","$76","$80","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Data Architect","7+ Years","APAC","Bill Rate","$87","$89","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Cloud Engineer","3-5 Years","APAC","Bill Rate","$35","$44","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Cloud Engineer","5-7 Years","APAC","Bill Rate","$47","$56","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Cloud Architect","7+ Years","APAC","Bill Rate","$59","$62","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Machine Learning Engineer","3-5 Years","APAC","Bill Rate","$37","$46","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Senior Machine Learning Engineer","5-7 Years","APAC","Bill Rate","$49","$59","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Principal Machine Learning Engineer","7+ Years","APAC","Bill Rate","$60","$67","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Tester / QA Analyst / SDET","1-3 Years","APAC","Bill Rate","$21","$28","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Tester / QA Analyst / SDET","3-5 Years","APAC","Bill Rate","$31","$37","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Tester / QA Analyst / SDET","5-7 Years","APAC","Bill Rate","$40","$49","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Test Manager / QA Manager / SDET Lead","7+ Years","APAC","Bill Rate","$54","$54","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Database Administrator","1-3 Years","APAC","Bill Rate","$17","$26","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Database Administrator","3-5 Years","APAC","Bill Rate","$29","$38","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Database Administrator","5-7 Years","APAC","Bill Rate","$41","$51","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead Database Administrator","7+ Years","APAC","Bill Rate","$52","$57","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","System Administrator","3-5 Years","APAC","Bill Rate","$29","$38","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Sr System Administrator","5+ Years","APAC","Bill Rate","$41","$51","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Production Support Analyst","1-3 Years","APAC","Bill Rate","$12","$21","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Production Support Analyst","3-5 Years","APAC","Bill Rate","$24","$34","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Production Support Lead","5-7 Years","APAC","Bill Rate","$37","$46","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Production Support Manager","7+ Years","APAC","Bill Rate","$48","$53","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Business Analyst","1-3 Years","APAC","Bill Rate","$12","$21","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Business Analyst","3-5 Years","APAC","Bill Rate","$24","$34","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Business Analyst","5-7 Years","APAC","Bill Rate","$37","$46","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Lead Business Analyst","7+ Years","APAC","Bill Rate","$48","$53","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
"Contingent Workforce","Business Systems Analyst","3-5 Years","APAC","Bill Rate","$13","$22","/hr","Insight Global India rate card 2026. USD hourly.","2026-04-01"
