id,name,domain,category,tier,status,region,annual_spend,renewal_date,primary_contact,supplier_address,supplier_notice,supplier_rep_name,supplier_rep_email,description,sla_score,concentration_risk,financial_risk,delivery_risk,compliance_risk,risk_score,capabilities,notes
V050,Randstad,randstad.com,Contingent Workforce,2,Active,Global,$0,2026-12-31,VER Team,"3625 Cumberland Blvd SE, Suite 600, Atlanta, GA 30339",Same as principal,,,Global workforce solutions. AMER Elite Partner. EMEA approved supplier.,85,38,20,25,18,27,Staff Augmentation|Managed Services,AMER Elite Partner. EMEA approved (Randstad). Global footprint.
V051,ICONMA,iconma.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"1175 W Long Lake Road, Suite 200, Troy, MI 48098",Same as principal,,,IT staffing. AMER Elite Partner. WBE certified.,83,28,20,25,18,24,Staff Augmentation|Application Development,AMER Elite Partner. WBE certified.
V052,Kelly Mitchell Group,kellymitchell.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"1000 Executive Parkway Drive, Suite 250, St. Louis, MO 63141",Same as principal,,,Technology staffing. AMER Elite Partner and Creative/Marketing. WBE certified. Active SOW.,84,28,20,25,18,24,Staff Augmentation|Application Development,AMER Elite Partner + Creative/Marketing. WBE. Active SOW in Fieldglass.
V053,LeadStack Inc.,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"3080 Olcott Street, Suite B220, Santa Clara, CA 95054",Same as principal,,,Niche IT staffing. AMER Elite Partner. MBE certified.,82,25,18,22,15,21,Staff Augmentation|Application Development,AMER Elite Partner. MBE certified.
V054,Omni Inclusive,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"Frisco, TX",Same as principal,,,Diversity-focused IT staffing. AMER Elite Partner. MBE certified.,82,25,18,22,15,21,Staff Augmentation,AMER Elite Partner. MBE certified. Diversity-focused.
V055,Pinnacle Inc.,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"3800 Colonnade Pkwy, Suite 350, Birmingham, AL 35243",Same as principal,,,IT staffing. AMER Elite Partner. MBE certified.,82,25,18,22,15,21,Staff Augmentation|Application Development,AMER Elite Partner. MBE certified.
V056,The Fountain Group,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"18851 NE 29th Avenue, Suite 600, Aventura, FL 33180",Same as principal,,,IT staffing. AMER Elite Partner. WBE certified.,82,25,18,22,15,21,Staff Augmentation,AMER Elite Partner. WBE certified.
V057,Varite,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"1250 Borregas Avenue, Suite 47, Sunnyvale, CA 94089",Same as principal,,,IT staffing. AMER Elite Partner. Also Canada approved.,82,25,18,22,15,21,Staff Augmentation|Application Development,AMER Elite Partner. Canada approved (VARITE CANADA INC).
V058,Robert Half Technology,roberthalf.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"2884 Sand Hill Road, Menlo Park, CA 94025",Same as principal,,,IT staffing. AMER Niche/Direct Sourcing approved.,82,25,20,25,15,22,Staff Augmentation|Application Development|QA & Testing,AMER Niche/Direct Sourcing. Non-diverse.
V059,Resource Global Professionals (RGP),rgp.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"18400 Von Karman Avenue, Suite 1000, Irvine, CA 92612",Same as principal,,,Project-based consulting and staff augmentation. AMER Niche/Direct Sourcing.,83,26,20,24,16,23,Staff Augmentation|Consulting / Advisory,AMER Niche/Direct Sourcing. Project-based consulting.
V060,Aditi Staffing,aditiconsulting.com,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"3060 Williams Drive, Suite 300, Fairfax, VA 22031",Same as principal,,,IT staffing. AMER Elite Partner. MBE certified.,82,25,18,22,15,21,Staff Augmentation|Application Development,AMER Elite Partner. MBE certified.
V061,Global Infotech Corporation,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"Plano, TX",Same as principal,,,IT staffing. AMER Elite Partner. MBE certified.,81,24,18,22,15,21,Staff Augmentation|Application Development,AMER Elite Partner. MBE certified.
V062,Hire Talent,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"Irvine, CA",Same as principal,,,IT staffing. AMER Elite Partner. MBE certified.,81,24,18,22,15,21,Staff Augmentation,AMER Elite Partner. MBE certified.
V063,Kelly Services,kellyservices.com,Contingent Workforce,2,Active,EMEA,$0,2026-12-31,VER Team,"999 W Big Beaver Road, Troy, MI 48084",Same as principal,,,"EMEA staffing across multiple countries (UK, Germany, Ireland, Italy, Netherlands, Denmark).",83,30,20,24,16,24,Staff Augmentation,EMEA approved. Multiple country coverage.
V064,Hays,hays.com,Contingent Workforce,2,Active,APAC|EMEA,$0,2026-12-31,VER Team,"London, UK",Same as principal,,,APAC staffing (AUD and SGD). Also EMEA coverage.,83,30,20,24,16,24,Staff Augmentation,APAC approved supplier (AUD & SGD).
V065,Peoplebank,peoplebank.com,Contingent Workforce,2,Active,APAC,$0,2026-12-31,VER Team,"Sydney, Australia",Same as principal,,,APAC staffing (AUD and SGD). Primary APAC provider.,83,28,20,24,16,23,Staff Augmentation,APAC approved supplier (AUD & SGD).
V066,Microsoft Azure,azure.microsoft.com,Cloud & Managed Services,2,Active,Global,$0,2026-09-30,VER Team,"One Microsoft Way, Redmond, WA 98052",Same as principal,,,"Azure cloud computing, AI, and managed services. Alongside M365.",97,55,10,10,10,26,Cloud Infrastructure|AI / ML|DevOps|Security|Managed Services,Azure dev and AI workloads. Often paired with M365.
V067,Rackspace,rackspace.com,Cloud & Managed Services,3,Active,AMER|EMEA,$0,2026-12-31,VER Team,"1 Fanatical Place, San Antonio, TX 78218",Same as principal,,,"Managed cloud services across AWS, Azure, and GCP.",85,30,22,25,20,25,Cloud Infrastructure|Managed Services|DevOps,Multi-cloud managed services.
V068,Verizon Business,verizonbusiness.com,Cloud & Managed Services,2,Active,AMER|EMEA,$0,2026-12-31,VER Team,"1095 Avenue of the Americas, New York, NY 10036",Same as principal,,,"Network, security, and managed communication services.",88,40,20,22,18,27,Network & AV|Security|Managed Services|Cloud Infrastructure,Enterprise network and connectivity services.
V069,Dell Technologies,dell.com,Hardware & Infrastructure,2,Active,Global,$0,2026-12-31,VER Team,"One Dell Way, Round Rock, TX 78682",Same as principal,,,"Enterprise hardware, servers, storage. Active Coupa spend confirmed (Dell + Dell Financial Services).",92,40,15,18,12,24,Hardware Supply|Network & AV|Managed Services,Coupa spend confirmed. Finance lease + direct purchase. Preferred hardware vendor.
V070,HP Inc.,hp.com,Hardware & Infrastructure,2,Active,Global,$0,2026-12-31,VER Team,"1501 Page Mill Road, Palo Alto, CA 94304",Same as principal,,,"Workstations, laptops, and enterprise hardware. Active Coupa spend confirmed.",90,35,15,18,12,22,Hardware Supply,Standard laptop supplier. Coupa spend confirmed (HP ZBook).
V071,Insight Direct,insight.com,Hardware & Infrastructure,2,Active,AMER|EMEA,$0,2026-12-31,VER Team,"6820 S Harl Avenue, Tempe, AZ 85283",Same as principal,,,"IT products and hardware. Highest hardware spend in Coupa. Laptops, mobiles, peripherals.",88,30,15,18,12,21,Hardware Supply|Managed Services,Largest hardware spend in Coupa. Multi-vendor procurement. AMER and Canada active.
V072,Cisco,cisco.com,Hardware & Infrastructure,2,Active,Global,$0,2026-12-31,VER Team,"170 West Tasman Drive, San Jose, CA 95134",Same as principal,,,"Networking, security, and collaboration infrastructure.",92,45,15,18,12,26,Network & AV|Security|Cloud Infrastructure,Enterprise networking and Webex.
V073,WWT (World Wide Technology),wwt.com,Hardware & Infrastructure,2,Active,AMER,$0,2026-12-31,VER Team,"1 World Wide Way, St. Louis, MO 63146",Same as principal,,,"Technology solutions, integration, and supply chain services.",89,32,16,18,14,22,Hardware Supply|Network & AV|Cloud Infrastructure|Managed Services,ATC lab capabilities. Existing PO.
V074,Computacenter,computacenter.com,Hardware & Infrastructure,2,Active,EMEA,$0,2026-12-31,VER Team,"Hatfield Business Park, Hatfield, Hertfordshire AL10 9TW, UK",Same as principal,,,"IT infrastructure, hardware, and managed services. Active Coupa spend confirmed (EMEA).",88,30,15,18,12,21,Hardware Supply|Managed Services|Network & AV,Coupa spend confirmed (Ireland entity). EMEA hardware procurement.
V075,Aquent,aquent.com,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,"501 Boylston Street, Suite 6100, Boston, MA 02116",Same as principal,,,Creative and marketing staffing. AMER Creative/Marketing approved. MBE certified.,94,40,25,30,20,31,Staff Augmentation,AMER Creative/Marketing supplier. MBE certified.
V076,Auticon LLC,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Staff Augmentation,90,35,15,18,12,22,Staff Augmentation,AMER Niche/Direct approved. Specializes in neuro-diverse contractors.
V077,Caprus IT Inc.,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Staff Augmentation,90,35,15,18,12,22,Staff Augmentation,AMER Niche/Direct Sourcing approved.
V078,Compensation Works,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Staff Augmentation,90,35,15,18,12,22,Staff Augmentation|Consulting / Advisory,AMER Niche/Direct. Specializes in compensation planning consultants.
V079,Epiq eDiscovery Solutions,,Professional Services,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Consulting / Advisory,90,35,15,18,12,22,Consulting / Advisory,AMER Niche/Direct. Specializes in eDiscovery projects.
V080,Genesys,,Software / SaaS,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Consulting / Advisory|Platform Engineering,90,35,15,18,12,22,Consulting / Advisory|Platform Engineering,AMER Niche/Direct Sourcing approved.
V081,Good Words LLC,,Professional Services,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Consulting / Advisory,90,35,15,18,12,22,Consulting / Advisory,AMER Niche/Direct and active SOW in Fieldglass.
V082,Green Couch Consulting,,Professional Services,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Consulting / Advisory,90,35,15,18,12,22,Consulting / Advisory,AMER Niche/Direct Sourcing approved.
V083,iCloud Nexus,,Contingent Workforce,3,Active,AMER|APAC,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Staff Augmentation,90,35,15,18,12,22,Staff Augmentation,AMER Niche/Direct and India approved supplier.
V084,Mathys + Potestio,,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Staff Augmentation,90,35,15,18,12,22,Staff Augmentation,AMER Niche/Direct Sourcing approved.
V085,Onward Search,onwardsearch.com,Contingent Workforce,3,Active,AMER,$0,2026-12-31,VER Team,See vendor website,Same as principal,,,Staff Augmentation,90,35,15,18,12,22,Staff Augmentation,AMER Niche/Direct. Office of Accessibility specialist.
